Country,Count
"Canada","16.0"
"Turkey","1.0"
"Italy","1.0"
"Peru","1.0"
"Norway","2.0"
"Ghana","124.0"
"Australia","50.0"
"Zambia","2.0"
"Ivory Coast (Cote D Ivoire)","2.0"
"Germany","9.0"
"Armenia","1.0"
"Puerto Rico","3.0"
"Thailand","1.0"
"Hong Kong","2.0"
"Spain","4.0"
"Finland","1.0"
"Philippines","14.0"
"Indonesia","2.0"
"United States","64.0"
"Switzerland","1.0"
"New Zealand","6.0"
"Brazil","1.0"
"Bulgaria","1.0"
"South Africa","40.0"
"United Arab Emirates","1.0"
"Mexico","13.0"
"United Kingdom","4.0"
"Malaysia","71.0"
"Austria","4.0"
"Colombia","5.0"
"Taiwan","53.0"
